Date,Open,High,Low,Close
45144,0.75,0.76,0.75,0.76
45113,0.75,0.75,0.75,0.75
45083,0.75,0.75,0.75,0.75
6/5/2023,0.75,0.75,0.75,0.75
6/2/2023,0.75,0.75,0.75,0.75
6/1/2023,0.75,0.75,0.75,0.75
05/31/2023,0.75,0.75,0.74,0.75
05/30/2023,0.74,0.75,0.74,0.75
05/26/2023,0.74,0.75,0.74,0.74
05/25/2023,0.74,0.75,0.74,0.74
05/24/2023,0.74,0.74,0.74,0.74
05/23/2023,0.74,0.74,0.73,0.74
05/22/2023,0.74,0.74,0.73,0.74
05/19/2023,0.73,0.74,0.73,0.74
05/18/2023,0.73,0.74,0.73,0.73
05/17/2023,0.74,0.74,0.73,0.73
05/16/2023,0.74,0.74,0.73,0.74
05/15/2023,0.74,0.74,0.74,0.74
45265,0.74,0.74,0.74,0.74
45235,0.74,0.74,0.74,0.74
45204,0.74,0.74,0.74,0.74
45174,0.74,0.74,0.74,0.74
45143,0.74,0.75,0.74,0.74
45051,0.74,0.74,0.73,0.74
5/4/2023,0.74,0.74,0.74,0.74
5/3/2023,0.75,0.75,0.74,0.74
5/2/2023,0.75,0.75,0.75,0.75
5/1/2023,0.75,0.75,0.75,0.75
04/28/2023,0.74,0.75,0.74,0.75
04/27/2023,0.74,0.75,0.74,0.75
04/26/2023,0.73,0.74,0.73,0.74
04/25/2023,0.73,0.74,0.73,0.73
04/24/2023,0.74,0.74,0.73,0.73
04/21/2023,0.73,0.74,0.73,0.74
04/20/2023,0.74,0.74,0.73,0.74
04/19/2023,0.73,0.74,0.73,0.74
04/18/2023,0.73,0.74,0.73,0.73
04/17/2023,0.74,0.74,0.73,0.73
04/14/2023,0.74,0.74,0.73,0.74
04/13/2023,0.74,0.74,0.74,0.74
45264,0.74,0.74,0.74,0.74
45234,0.74,0.74,0.74,0.74
45203,0.74,0.75,0.74,0.74
45081,0.74,0.75,0.74,0.74
45050,0.74,0.74,0.74,0.74
45020,0.74,0.74,0.74,0.74
4/3/2023,0.74,0.74,0.73,0.74
03/31/2023,0.73,0.74,0.73,0.74
03/30/2023,0.73,0.73,0.73,0.73
03/29/2023,0.73,0.73,0.72,0.73
03/28/2023,0.73,0.73,0.73,0.73
03/27/2023,0.73,0.73,0.73,0.73
03/24/2023,0.73,0.73,0.73,0.73
03/23/2023,0.73,0.73,0.73,0.73
03/22/2023,0.73,0.73,0.73,0.73
03/21/2023,0.73,0.73,0.73,0.73
03/20/2023,0.73,0.73,0.72,0.73
03/17/2023,0.73,0.73,0.73,0.73
03/16/2023,0.72,0.73,0.72,0.73
03/15/2023,0.72,0.73,0.72,0.72
03/14/2023,0.72,0.73,0.72,0.72
03/13/2023,0.73,0.73,0.72,0.72
45202,0.73,0.74,0.73,0.73
45172,0.74,0.74,0.73,0.73
45141,0.74,0.74,0.73,0.74
45110,0.74,0.74,0.73,0.74
45080,0.73,0.74,0.73,0.74
44988,0.74,0.74,0.73,0.73
44960,0.73,0.74,0.73,0.74
3/1/2023,0.74,0.74,0.73,0.74
02/28/2023,0.74,0.74,0.74,0.74
02/27/2023,0.74,0.74,0.74,0.74
02/24/2023,0.74,0.74,0.74,0.74
02/23/2023,0.74,0.74,0.74,0.74
02/22/2023,0.74,0.74,0.74,0.74
02/21/2023,0.75,0.75,0.74,0.74
02/17/2023,0.75,0.75,0.74,0.75
